,title,abstract,affiliations,authors,journal,date,keywords,url,raw_text
0,We need to talk about mental health,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,Nature ecology & evolution,2022 Mar,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35241810,nature
1,Reactie op: ‘Aanpassing aan veranderende zorgbehoefte in de ggz: mentale gezondheidscentra’,NO_ABSTRACT,NO_AFFILIATIONS,"M Kleijweg, ",Tijdschrift voor psychiatrie,2022,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35506977,NO TEXT (not hosted on top 3 sites)
2,Reframing Mental Health Ethics,"Mental health ethics has been classically focused on ethical concepts and problems in clinical mental health spaces. Psychiatric and psychotherapeutic ethics are main threads of analysis in this subfield of bioethics. However, ethical issues emerge around mental health and illness both within and beyond clinical settings. In particular, ethical quandaries arise in employment, education, family caregiving, and incarceration of people with mental health conditions outside of the clinical setting. Likewise, ethics are an important consideration within alternative care systems where mentally ill people seek support beyond biomedicine, psychotherapy, and case management. In this article, we argue that our understanding of ""mental health ethics"" should expand to be more inclusive of value questions and conflicts that arise in all areas of the lives of people with mental health conditions, rather than focusing more narrowly on how clinical practitioners and researchers should best respond to ethical quandaries in the delivery of mental healthcare. Community mental health is an ideal space in which to think about such ethical issues, as scholars and practitioners in the field strive to meet not only medical needs but the broader social needs of people with mental health conditions. We begin by providing an overview of psychiatric and psychotherapeutic ethics, and then describe broader applications of ethics in the lives of people experiencing mental illness. We encourage community mental health practitioners and researchers to reconceptualize disciplinary boundaries to consider the vast scope of ethical issues related to mental health in and out of the clinic.","['1 Department of Bioethics, Case Western Reserve University School of Medicine, 10900 Euclid Avenue, Sears Tower TA200, Cleveland, OH, 44106, USA. julia.knopes@case.edu.', '2 Cleveland Clinic Center for Bioethics, Cleveland, USA.']","Julia Knopes, Laura Guidry-Grimes, ",Community mental health journal,2024 Feb,Bioethics; Lived experience; Mental health ethics; Psychiatric ethics.,https://pubmed.ncbi.nlm.nih.gov/37787887,springer
3,Heatwave and mental health,"Physical health has been associated with ambient temperature and heatwave. With the frequent occurrence of heatwave, the adaptive effects and mechanisms on mental health remain uncertain. On the basis of the China Health and Nutrition Survey, we estimated the relationship between heatwaves and self-assessed mental health scores in the Chinese population aged 50 and above. This study has identified that with each additional heatwave event, mental health scores decreased by an average of 0.027 points, which is equivalent to 0.3% of the average level. Heat is more likely to affect groups with low education, no medical insurance, and living in rural areas. In mechanistic exploration, we found that stress emotion is a fully mediating effect. Heat led to reduced health activities and more frequent drinking, which may lead to lower psychological well-being. Moreover, good dietary preference is a regulator that can help mitigate the adverse effects of heat on mental health. This study corroborates the impact of heat on spiritual welfare, and demonstrates the mechanisms and channels of impact, which can help reduce global economic losses due to mental health problems.","['1 School of Economics, Jinan University, Guangzhou, 510632, China. Electronic address: zhangxin@stu2020.jnu.edu.cn.', '2 School of Government, Peking University, Beijing, 100871, China. Electronic address: achenfl@stu.pku.edu.cn.', '3 School of Economics, Jinan University, Guangzhou, 510632, China. Electronic address: chenzf@jnu.edu.cn.']","Xin Zhang, Fanglin Chen, Zhongfei Chen, ",Journal of environmental management,2023 Apr 15,China; Diet preference; Heatwave; Mental health; Mood.,https://pubmed.ncbi.nlm.nih.gov/36738719,elsevier
4,Refugee mental health: Culturally relevant considerations,"In recent years, multiple global crises have contributed to increasing human displacement. Currently, there are approximately 84 million displaced people around the world. Many suffer from mental health problems. However, the mental health service delivery system is not fully prepared to meet the complex needs of refugees. Refugees experience multiple barriers, both individual and systemic, to accessing and engaging in mental health treatment. The following article provides an overview of some of the challenges faced by refugees worldwide and avenues forward. The authors also examine contextual factors that impact refugee resettlement and discuss barriers to culturally responsive, trauma-informed, and ethical care. Finally, the authors review advocacy efforts and discuss future directions to improve refugee mental health care delivery.","['1 Boston University School of Medicine/ Boston Medical Center Boston Center for Refugee Health and Human Rights (BCRHHR), Immigrant and Refugee Health Center (IRHC), USA. Electronic address: smattar@bu.edu.', '2 Boston University School of Medicine/ Boston Medical Center Boston Center for Refugee Health and Human Rights (BCRHHR), Immigrant and Refugee Health Center (IRHC), USA.']","Sandra Mattar, Resham Gellatly, ",Current opinion in psychology,2022 Oct,Cultural responsiveness; Refugee mental health; Systemic barriers; Trauma-informed care.,https://pubmed.ncbi.nlm.nih.gov/35973355,elsevier
5,Foregrounding mental health and wellness,NO_ABSTRACT,"['1 Lecturer and Research Associate, Department of Radiography, Faculty of Health Sciences, Nelson Mandela University, South Africa. Electronic address: riaan.vandeventer@mandela.ac.za.']","Riaan van de Venter, ",Journal of medical imaging and radiation sciences,2023 Jun,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/37244698,elsevier
6,Traumer og psykiske lidelser hos nyankomne flygtninge,NO_ABSTRACT,"['1 Psykiatrisk Center Ballerup, Region Hovedstadens Psykiatri. E-mail: jessica.carlsson.lohmann@regionh.dk.']","Jessica Carlsson Lohmann, Charlotte Sonne, ",Ugeskrift for laeger,2022 May 2,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35506624,NO TEXT (not hosted on top 3 sites)
7,Editorial introduction: animal models relevant to mental health disorders,"Mental health disorders affect a substantial proportion of the worldwide population, and currently available treatments do not work for all affected individuals. Understanding the psychological and biological mechanisms that underlie mental health disorders will facilitate treatment development, and the use of translational animal models is potentially transformative for this. Structured around the US National Institute of Mental Health's 'Research Domain Criteria' (RDoC) approach, this special issue showcases reviews that consider how animal models can best be used to understand and treat the processes that go awry in mental health disorders.","['1 Department of Psychology, University of Cambridge, Cambridge, U.K.']","Amy L Milton, ",Emerging topics in life sciences,2022 Dec 9,mental health; research domain criteria; translational science.,https://pubmed.ncbi.nlm.nih.gov/36484519,PMC
8,Call for papers: Themenschwerpunkt „Psychiatrische Pflege und psychische Gesundheit“,NO_ABSTRACT,NO_AFFILIATIONS,NO_AUTHOR,Pflege,2022 Jun,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36069740,NO TEXT (not hosted on top 3 sites)
9,Modern media and mental health: help or hindrance?,NO_ABSTRACT,"['1 De Crespigny Park, London, UK.', '2 Institute of Psychiatry, Kings College London, UK.']","Til Wykes, Martin Guha, ","Journal of mental health (Abingdon, England)",2022 Dec,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36660962,tandfonline
